Date,Country,City,Street,Type,Subtype,Location
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Nilson Gottlieb,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.502979 -25.487062)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Gramado,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.516252 -25.486389)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Beira Rio,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.593692 -25.51515)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Beira Rio,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.593331 -25.520758)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Garibaldi,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.557384 -25.491767)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. República Argentina,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.530865 -25.536807)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Garibaldi,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.556989 -25.503708)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Garibaldi,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.55756 -25.489074)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Gramado,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.513595 -25.486096)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Garibaldi,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.557482 -25.491551)
31 de mai. de 2026,BR,Foz do Iguaçu,R. das Missões,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.590531 -25.529116)
31 de mai. de 2026,BR,Foz do Iguaçu,R. Maria Ignez Maran,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.503037 -25.491884)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Costa e Silva,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.551421 -25.512626)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Rosa Cirilo de Castro,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.573174 -25.52453)
31 de mai. de 2026,BR,Foz do Iguaçu,null,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.557409 -25.491648)
31 de mai. de 2026,BR,Foz do Iguaçu,R. Mané Garrincha,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.550514 -25.525677)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Gramado,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.517742 -25.486581)
31 de mai. de 2026,BR,Foz do Iguaçu,R. José Maria Tavares,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.572736 -25.531254)
31 de mai. de 2026,BR,Foz do Iguaçu,R. Maria Ignez Maran,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.503276 -25.501674)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. República do Líbano,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.587023 -25.505069)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Garibaldi,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.556758 -25.502599)
31 de mai. de 2026,BR,Foz do Iguaçu,R. Marie Curie,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.572176 -25.531299)
31 de mai. de 2026,BR,Foz do Iguaçu,R. Argemiro Lemos,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.504602 -25.507619)
31 de mai. de 2026,BR,Foz do Iguaçu,null,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.552536 -25.488773)
31 de mai. de 2026,BR,Foz do Iguaçu,R. Princesa Izabel,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.565556 -25.530167)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Rosa Cirilo de Castro,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.573839 -25.524477)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Gen. Meira,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.582548 -25.58749)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Pedro Basso,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.573289 -25.529202)
31 de mai. de 2026,BR,Foz do Iguaçu,null,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.503992 -25.488172)
31 de mai. de 2026,BR,Foz do Iguaçu,R. Maj. Acylino de Castro,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.566609 -25.551758)
31 de mai. de 2026,BR,Foz do Iguaçu,R. Argemiro Lemos,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.504254 -25.505705)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.57552 -25.547234)
30 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.550037 -25.548959)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Bartolomeu de Gusmão,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.587825 -25.539488)
30 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.573061 -25.547507)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Roberto Bordinhon,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.529482 -25.54124)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Roberto Bordinhon,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.530718 -25.541146)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Argemiro Lemos,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.504376 -25.509689)
30 de mai. de 2026,BR,Foz do Iguaçu,R. dos Golfinhos,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.575446 -25.571924)
30 de mai. de 2026,BR,Foz do Iguaçu,BR-277 L,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.597723 -25.509874)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Frederico Bernardo Zilio,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.542196 -25.499793)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Maj. Acylino de Castro,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.566508 -25.55163)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Roberto Bordinhon,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.529729 -25.541228)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Tibagi,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.553917 -25.532942)
30 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.574961 -25.54729)
30 de mai. de 2026,BR,Foz do Iguaçu,Av. Gramado,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.517742 -25.486581)
30 de mai. de 2026,BR,Foz do Iguaçu,Av. João Ricieri Maran,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.510272 -25.47594)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Quintino Bocaiúva,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.585505 -25.542818)
30 de mai. de 2026,BR,Foz do Iguaçu,null,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.551758 -25.489116)
30 de mai. de 2026,BR,Foz do Iguaçu,Av. das Cataratas,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.576206 -25.548761)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Javaé,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.593324 -25.530376)
30 de mai. de 2026,BR,Foz do Iguaçu,Av. Jorge Schimmelpfeng,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.581964 -25.546922)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Javaé,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.592555 -25.529679)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Itaboraí,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.509071 -25.585246)
30 de mai. de 2026,BR,Foz do Iguaçu,Av. Paulo Montanari,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.493769 -25.475776)
30 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.543809 -25.549362)
30 de mai. de 2026,BR,Foz do Iguaçu,Av. Beira Rio,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.593138 -25.52003)
30 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.55998 -25.548449)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Silvano Gutierrez,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.512213 -25.487789)
30 de mai. de 2026,BR,Foz do Iguaçu,null,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.50367 -25.488038)
30 de mai. de 2026,BR,Foz do Iguaçu,Av. República Argentina,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.530422 -25.536824)
30 de mai. de 2026,BR,Foz do Iguaçu,R. Mercedes,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.509504 -25.475704)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.567424 -25.547816)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Pôr do Sol,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.550551 -25.53868)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.552556 -25.548787)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.547025 -25.549227)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.550803 -25.548906)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Garibaldi,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.557583 -25.485151)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. República Argentina,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.532344 -25.536751)
29 de mai. de 2026,BR,Foz do Iguaçu,null,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.552546 -25.488767)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.555063 -25.54863)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.550342 -25.549025)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Araucária,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.570888 -25.502955)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.549983 -25.548962)
29 de mai. de 2026,BR,Foz do Iguaçu,R. Paranapanema,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.552782 -25.527714)
29 de mai. de 2026,BR,Foz do Iguaçu,R. Araguaia,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.554902 -25.521965)
29 de mai. de 2026,BR,Foz do Iguaçu,R. Amazonas,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.560539 -25.52237)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Jorge Schimmelpfeng,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.58192 -25.546922)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Garibaldi,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.55681 -25.501433)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. República Argentina,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.535072 -25.536643)
29 de mai. de 2026,BR,Foz do Iguaçu,R. Silvano Gutierrez,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.511643 -25.488919)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. das Cataratas,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.576028 -25.548821)
29 de mai. de 2026,BR,Foz do Iguaçu,R. Osasco,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.51256 -25.487689)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Paraná,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.574813 -25.518249)
29 de mai. de 2026,BR,Foz do Iguaçu,R. Tibagi,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.554715 -25.522079)
29 de mai. de 2026,BR,Foz do Iguaçu,R. Guarapari,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.540215 -25.549445)
29 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.533782 -25.549903)
29 de mai. de 2026,BR,Foz do Iguaçu,R. Edmundo de Barros,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.58041 -25.544958)
