Date,Country,City,Street,Type,Subtype,Location
31 de mai. de 2026,BR,Foz do Iguaçu,R. Argemiro Lemos,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.504254 -25.505705)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Tarquínio Joslin dos Santos,HAZARD,HAZARD_WEATHER_FOG,Point(-54.571408 -25.464726)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Pedro Basso,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.573289 -25.529202)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Garibaldi,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.557384 -25.491767)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. República do Líbano,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.587023 -25.505069)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Paraná,JAM,JAM_HEAVY_TRAFFIC,Point(-54.575349 -25.523034)
31 de mai. de 2026,BR,Foz do Iguaçu,R. Princesa Izabel,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.565556 -25.530167)
31 de mai. de 2026,BR,Foz do Iguaçu,BR-277,JAM,,Point(-54.595678 -25.509399)
31 de mai. de 2026,BR,Foz do Iguaçu,BR-277,JAM,JAM_HEAVY_TRAFFIC,Point(-54.598843 -25.50949)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.57552 -25.547234)
31 de mai. de 2026,BR,Foz do Iguaçu,BR-277 O,HAZARD,HAZARD_WEATHER_FOG,Point(-54.507388 -25.489243)
31 de mai. de 2026,BR,Foz do Iguaçu,BR-277 O,ACCIDENT,,Point(-54.533653 -25.500363)
31 de mai. de 2026,BR,Foz do Iguaçu,BR-277 L,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Point(-54.53758 -25.502256)
31 de mai. de 2026,BR,Foz do Iguaçu,null,HAZARD,HAZARD_ON_ROAD,Point(-54.584981 -25.508641)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Gen. Meira,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.582548 -25.58749)
31 de mai. de 2026,BR,Foz do Iguaçu,BR-277 O,ACCIDENT,,Point(-54.558759 -25.510159)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Felipe Wandscheer,JAM,,Point(-54.576215 -25.54718)
31 de mai. de 2026,BR,Foz do Iguaçu,null,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.557409 -25.491648)
31 de mai. de 2026,BR,Foz do Iguaçu,R. Maj. Acylino de Castro,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.566609 -25.551758)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Beira Rio,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.593692 -25.51515)
31 de mai. de 2026,BR,Foz do Iguaçu,R. Ambrósio Losi,HAZARD,HAZARD_WEATHER_FOG,Point(-54.562178 -25.460673)
31 de mai. de 2026,BR,Foz do Iguaçu,R. Paranapanema,HAZARD,HAZARD_ON_ROAD_OBJECT,Point(-54.551521 -25.527699)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Juscelino Kubitschek,HAZARD,HAZARD_ON_ROAD_LANE_CLOSED,Point(-54.58615 -25.529928)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Gramado,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.517742 -25.486581)
31 de mai. de 2026,BR,Foz do Iguaçu,R. Quintino Bocaiúva,JAM,,Point(-54.583973 -25.542875)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Garibaldi,HAZARD,HAZARD_ON_ROAD_POT_HOLE,Point(-54.556758 -25.502599)
31 de mai. de 2026,BR,Foz do Iguaçu,Av. Maria Bubiak,HAZARD,HAZARD_ON_ROAD,Point(-54.528053 -25.547612)
